SrNo,ItemCode,ItemName,Pack,Manufacturer,HSN,GST%,MRP,PurchaseRate,SellingRate,ScheduleClass,BatchNo,ExpDate,Qty,Loc,Notes
183,VPH-00160,Cefixime 200mg,Tab,SANOFI,  30041000,12,₹1678.89,1205.09,1676.75,H,B3999B,19/01/27,423,R1-S3,
184,VPH-00160,Cefixime 200mg,Tab,SANOFI,  30041000,12,₹1678.89,316.45,509.56,H,B6020A,27/02/28,274,R7-S2,
185,VPH-00161,Prednisolone 5mg,Tab,Lupin,  30049099,12,1323.44,956.63,₹1241.36,H,B3913D,07/07/27,236,R4-S1,"Pack: Tab, blister"
186,VPH-00162,Ibuprofen 400mg,Tab,Glenmark Pharma,30049099,12,1673.08,1216.82,1554.73,,B7920G,28/02/2027,21,R7-S12,
187,VPH-00163,Crocin Advance,Tab,Pfizer India,30049099,12,1836.95,₹1064.86,1759.69,,B8606C,17-Apr-2028,405,R8-S8,
188,VPH-00163,Crocin Advance,Tab,Pfizer India,30049099,12,1836.95,803.52,₹1366.19,,B4929E,14.02.2027,363,R1-S4,
189,VPH-00164,Metronidazole 400mg,Tab,TORRENT,30049099,12,585.04,411.41,548.33,H,B4320D,27-Oct-2027,514,R4-S1,
190,VPH-00165,Salbutamol Inhaler 200d,Inhaler,MACLEODS,30049099  ,12,Rs.1175.25,883.25,1168.83,H,B7123H,31/12/2026,274,R3-S8,
191,VPH-00166,Glimepiride 1mg,Tab,Mankind Pharma,  30049099,12,1092.50,786.95,1071.25,,B1093D,16-Mar-2026,418,R4-S2,
192,VPH-00166,Glimepiride 1mg,Tab,Mankind Pharma,  30049099,12,1092.50,900.87,1480.26,,B4169E,05.08.2027,428,R8-S3,
193,VPH-00167,Pantoprazole 40mg,Tab,Alkem Labs,30049099  ,12,1370.25,840.50,1292.69,,B7348G,17-Sep-2027,196,R4-S9,
194,VPH-00167,Pantoprazole 40mg,Tab,Alkem Labs,30049099  ,12,1370.25,110.89,176.96,,B2853A,04/12/26,559,R5-S1,"Pack: Tab, blister"
195,VPH-00168,Volini Gel 75g,Gel,Mankind,30049099,12,1723.28,956.50,1716.25,,B6875H,12-May-2027,323,R3-S5,
196,VPH-00169,Iodex 16g,Ointment,Cipla Ltd,30049099,12,1103.46,779.51,1078.93,,B9799E,28/04/28,12,R3-S2,
197,VPH-00170,Loratadine 10mg,Tab,gsk,30049099,12,208.21,153.20,Rs.201.20,,B6715D,10-Apr-2027,159,R7-S2,
198,VPH-00170,Loratadine 10mg,Tab,gsk,30049099,12,208.21,428.86,589.69,,B5896G,22/09/2027,286,R7-S1,
199,VPH-00171,Vitamin B12 1500mcg,Tab,Torrent,30049099,12,1803.76,₹1406.13,₹1725.16,,B2291D,28-Sep-2027,224,R5-S5,
200,VPH-00172,Domperidone 10mg,Tab,CIPLA,30049099,12,995.92,582.12,978.47,,B8512D,27-Sep-2026,12,R4-S1,
201,VPH-00172,Domperidone 10mg,Tab,CIPLA,30049099,12,995.92,Rs.814.58,1144.81,,B8910C,01/10/2027,248,R3-S5,
202,VPH-00173,Becosules,Cap,Pfizer,30049099,12,1809.48,₹1096.70,1682.31,,B5081C,12/01/28,171,R4-S9,
203,VPH-00174,Moov Spray 50g,Spray,Pfizer,30049099  ,12,1699.60,983.47,1581.06,,B9171C,13/01/26,206,R6-S3,
204,VPH-00174,Moov Spray 50g,Spray,Pfizer,30049099  ,12,1699.60,Rs.9.96,11.90,,B8412B,28/11/27,336,R5-S9,
205,VPH-00175,Ranitidine 150mg,Tab,SUN PHARMA,30049099,12,1575.76,909.35,1454.89,,B4808A,23/02/2028,410,R7-S8,
206,VPH-00176,Dexamethasone 0.5mg,Tab,Sanofi,30049099,12,1523.65,922.39,1471.16,H,B2593B,22/04/2027,130,R1-S4,
207,VPH-00177,Domperidone 10mg,Tab,Himalaya,30049099,12,780.43,505.48,748.30,,B8160H,01/04/2027,551,R1-S1,
208,VPH-00178,Vicks Action 500,Tab,ZYDUS,30049099,12,259.14,181.99,257.61,,B9583G,28/03/28,219,R2-S4,
209,VPH-00179,Disprin,Tab,GSK,30049099,12,1686.38,₹1065.13,1573.81,,B1624D,14/06/27,294,R7-S10,
210,VPH-00180,Combiflam,Tab,Pfizer,30049099,12,₹1191.98,854.52,₹1108.83,,B9397G,05-Sep-2026,209,R6-S6,
211,VPH-00181,Folic Acid 5mg,Tab,ABBOTT,30049099,12,1390.70,₹820.80,1347.45,,B5209D,17/09/2027,567,R5-S7,
212,VPH-00181,Folic Acid 5mg,Tab,ABBOTT,30049099,12,1390.70,366.29,487.34,,B2205E,22.03.2028,82,R7-S5,
213,VPH-00182,Eno Fruit Salt 100g,Sachet,Mankind,30049099,12,1069.72,₹764.84,1042.23,,B7754F,12/03/27,431,R7-S6,
214,VPH-00183,Calcium Carbonate 500mg,Tab,Alkem Labs,30049099,12,651.60,421.28,646.13,,B3639A,25-Jan-2027,115,R3-S8,
215,VPH-00184,Becosules,Cap,Mankind Pharma,  30049099,12,280.20,182.73,258.03,,B6928C,06.07.2026,138,R1-S6,
216,VPH-00185,Ciprofloxacin 500mg,Tab,Pfizer,30041000,12,₹846.34,515.50,₹778.98,H,B4087C,11-Oct-2026,102,R1-S5,
217,VPH-00185,Ciprofloxacin 500mg,Tab,Pfizer,30041000,12,₹846.34,72.16,₹92.42,H,B7175G,13/03/2028,333,R6-S9,
218,VPH-00186,Antacid Gel 170ml,Liquid,Lupin Ltd,30049099,12,1765.57,1281.28,1759.31,,B2895G,02/10/2027,5,R4-S10,
219,VPH-00187,Metformin 500mg टॅब,Tab,LUPIN,30049099  ,12,₹943.73,681.13,₹914.52,,B3771G,18/11/2027,324,R1-S7,
220,VPH-00188,Folic Acid 5mg,Tab,Mankind,30049099,12,₹222.28,127.39,206.32,,B8806D,22/05/2025,489,R8-S2,
221,VPH-00189,Doxycycline 100mg,Cap,Zydus Cadila,30041000  ,12,720.47,417.58,679.13,H,B7831D,02/04/27,194,R5-S9,
222,VPH-00190,Crocin 500mg टॅब,Tab,Alkem Labs,  30049099,12,1524.81,944.74,1444.49,,B5317E,29/03/27,239,R7-S9,
223,VPH-00191,Dolo 650mg,Tab,Abbott,30049099  ,12,Rs.1400.07,1067.38,1364.06,,B2389H,10/03/28,522,R6-S12,
224,VPH-00192,Atorvastatin 10mg,Tab,cipla ,30049099  ,12,212.37,Rs.126.21,199.79,,B3093F,07.09.2027,46,R7-S5,
225,VPH-00193,Ibuprofen 400mg,Tab,TORRENT,30049099  ,12,304.05,180.65,287.67,,B5327B,26/03/26,161,R7-S9,
226,VPH-00194,Ranitidine 150mg,Tab,GSK,30049099  ,12,509.07,352.70,495.16,,B9947E,27-May-2026,505,R2-S5,
227,VPH-00194,Ranitidine 150mg,Tab,GSK,30049099  ,12,509.07,709.20,1023.65,,B9047D,24-Dec-2027,500,R4-S3,
228,VPH-00195,Pudin Hara Pearls,Cap,Alkem Labs,30049099,12,₹585.03,412.65,₹573.85,,B6819D,28/08/2027,282,R3-S1,
229,VPH-00195,Pudin Hara Pearls,Cap,Alkem Labs,30049099,12,₹585.03,₹997.91,1448.85,,B3002H,28-Sep-2026,7,R6-S12,
230,VPH-00196,Norfloxacin 400mg,Tab,Dr. Reddy's Labs,30041000,12,1190.35,776.18,1109.52,H,B1086E,16-Jun-2027,302,R3-S12,
231,VPH-00197,Antacid Gel 170ml,Liquid,GLENMARK,30049099,12,860.26,513.40,854.82,,B3177C,28-Feb-2027,35,R2-S10,
232,VPH-00198,Metronidazole 400mg,Tab,MANKIND,30049099,12,67.84,38.18,65.32,H,B5785F,09/02/2027,384,R8-S9,
233,VPH-00199,Vicks Action 500 टॅब,Tab,DR REDDYS,30049099,12,₹123.44,78.72,113.71,,B6861B,05/08/27,25,R6-S6,
234,VPH-00200,Amoxicillin 500mg,Cap,MACLEODS,30041000,12,448.83,250.87,₹423.04,H,B2129D,24.01.2027,130,R4-S6,
235,VPH-00201,Pantoprazole 40mg,Tab,Glenmark,30049099,12,84.79,56.98,₹80.58,,B1865G,27/10/27,498,R1-S8,
236,VPH-00202,Moov Spray 50g,Spray,GlaxoSmithKline,30049099,12,₹327.70,223.72,320.13,,B3844C,29/03/28,41,R1-S5,
237,VPH-00203,Moov Spray 50g,Spray,HIMALAYA,30049099  ,12,₹1416.34,1054.16,Rs.1353.92,,B8046B,07/03/2028,472,R2-S4,
238,VPH-00204,Multivitamin Syrup 200ml,Syrup,Torrent,30049099,12,94.43,₹56.72,90.31,,B3861B,17/12/2026,105,R8-S8,
239,VPH-00205,Becosules,Cap,Glenmark Pharma,30049099  ,12,1227.08,767.24,1193.42,,B7452B,05/01/2028,478,R7-S11,
240,VPH-00206,Ondansetron 4mg,Tab,Abbott India,30049099,12,595.18,384.33,570.20,,B7436E,10.05.2027,551,R6-S9,
241,VPH-00207,Cetirizine 10mg,Tab,LUPIN,30049099,12,1403.94,1047.18,1335.11,,B9184A,09/08/26,45,R3-S4,
242,VPH-00208,Disprin,Tab,ZYDUS,30049099,12,₹1740.81,Rs.1165.64,1713.46,,B5156A,18.09.2026,295,R4-S7,
243,VPH-00209,Telmisartan 40mg,Tab,Mankind Pharma,30049099,12,1285.63,787.24,1242.99,,B6041G,30.03.2028,481,R8-S5,
244,VPH-00210,Pudin Hara Pearls,Cap,Zydus,30049099,12,1825.46,1108.06,₹1798.63,,B9265H,01.09.2027,502,R6-S10,
245,VPH-00211,Vicks Action 500,Tab,Glenmark Pharma,30049099,12,384.23,238.37,355.20,,B9042C,18/08/26,196,R3-S6,
246,VPH-00211,Vicks Action 500,Tab,Glenmark Pharma,30049099,12,384.23,797.04,₹1010.12,,B7894F,24/11/2027,331,R1-S5,
247,VPH-00212,Moov Spray 50g,Spray,LUPIN,30049099,12,1406.57,₹847.44,1362.72,,B7745A,14/01/28,396,R3-S9,
248,VPH-00213,Saridon,Tab,Lupin Ltd,30049099,12,₹207.97,115.11,204.71,,B8478E,26-Dec-2026,334,R8-S4,
249,VPH-00214,Multivitamin Syrup 200ml,Syrup,Zydus,30049099  ,12,408.87,244.96,388.31,,B1931G,20-May-2026,206,R1-S11,
250,VPH-00215,Dolo 650mg,Tab,Dr. Reddy's Labs,30049099,12,₹1542.63,1011.96,1536.15,,B6580C,25.07.2026,54,R7-S4,
251,VPH-00215,Dolo 650mg,Tab,Dr. Reddy's Labs,30049099,12,₹1542.63,144.49,211.10,,B2732B,21/06/27,431,R8-S6,
252,VPH-00216,Pudin Hara Pearls,Cap,Pfizer India,  30049099,12,203.42,126.94,₹198.76,,B4549B,01.02.2028,469,R6-S10,
253,VPH-00217,Atorvastatin 10mg,Tab,Macleods Pharma,30049099,12,772.09,588.08,723.47,,B5404H,10.09.2027,235,R7-S4,
254,VPH-00218,Metformin 500mg,Tab,Torrent,30049099  ,12,188.14,131.64,182.38,,B2361C,20/03/26,12,R1-S5,
255,VPH-00219,Disprin,Tab,Pfizer,30049099  ,12,1424.29,1068.78,1363.21,,B9794F,24-Sep-2026,123,R3-S4,
256,VPH-00220,Revital H,Cap,Lupin,30049099,12,798.91,590.04,₹778.43,,B1565A,20/11/2027,170,R4-S10,
257,VPH-00221,Amlodipine 5mg,Tab,Glenmark,30049099,12,533.28,317.44,499.78,,B2901E,21/04/2028,370,R3-S12,
258,VPH-00222,Saridon,Tab,ZYDUS,30049099,12,133.59,85.81,₹132.60,,B7503A,12-Jan-2028,53,R8-S3,
259,VPH-00223,Domperidone 10mg,Tab,Mankind Pharma,  30049099,12,1304.96,799.94,₹1284.35,,B6890D,18-Oct-2025,541,R4-S6,
260,VPH-00224,Atorvastatin 10mg,Tab,Pfizer,30049099  ,12,1818.57,1169.93,₹1680.34,,B6052C,12-Mar-2027,54,R3-S2,
261,VPH-00225,Folic Acid 5mg,Tab,Lupin Ltd,30049099,12,76.97,₹43.98,74.78,,B9372E,24-Oct-2026,166,R1-S3,
262,VPH-00226,Crocin Advance,Tab,Mankind Pharma,30049099,12,1204.45,₹713.17,₹1156.52,,B3768A,17/11/25,327,R5-S6,
263,VPH-00227,Vitamin D3 60K,Sachet,Pfizer,30049099,12,1517.25,937.24,1434.90,,B8007B,12/07/26,136,R1-S3,
264,VPH-00227,Vitamin D3 60K,Sachet,Pfizer,30049099,12,1517.25,₹90.25,126.45,,B4853C,18/12/27,13,R1-S9,
265,VPH-00228,Omeprazole 20mg,Cap,Sun Pharma Ltd,30049099  ,12,442.37,245.76,427.87,,B1094C,05.12.2027,123,R8-S3,"Pack: Cap, blister"
266,VPH-00229,Disprin,Tab,Torrent Pharma,30049099,12,1245.69,Rs.857.40,₹1183.49,,B1587A,10.05.2027,246,R1-S2,
267,VPH-00230,Glimepiride 1mg,Tab,Torrent,30049099,12,127.75,91.14,125.80,,B9478H,07/03/28,178,R4-S3,
268,VPH-00231,Volini Gel 75g टॅब,Gel,MANKIND,30049099,12,1275.66,830.65,1196.91,,B7377B,28-Apr-2027,471,R6-S9,
269,VPH-00232,Vitamin D3 60K,Sachet,GLENMARK,30049099,12,722.31,556.30,677.47,,B8629E,11.04.2027,524,R1-S11,
270,VPH-00233,ORS Sachet 21g,Sachet,ABBOTT,30049099,5,415.53,252.13,387.19,,B1544C,19-Oct-2026,50,R8-S12,
271,VPH-00234,Revital H,Cap,PFIZER,  30049099,12,₹570.57,358.64,558.73,,B8390D,28-Feb-2027,113,R5-S11,
272,VPH-00235,Volini Gel 75g,Gel,Cipla,30049099,12,145.34,94.60,134.10,,B7725A,03/03/2028,383,R3-S1,
273,VPH-00236,Folic Acid 5mg,Tab,Sanofi India,  30049099,12,Rs.1784.32,1204.98,₹1773.07,,B1229A,17.02.2028,380,R1-S12,
274,VPH-00237,Crocin 500mg टॅब,Tab,PFIZER,30049099,12,756.60,437.93,Rs.755.50,,B8198B,12/08/27,185,R8-S9,
275,VPH-00238,Calcium Carbonate 500mg,Tab,SUN PHARMA,30049099  ,12,1292.00,₹813.93,₹1194.56,,B1051B,09/09/26,20,R2-S7,
276,VPH-00239,Dolo 650mg,Tab,Abbott,30049099  ,12,1839.21,1167.80,1783.32,,B1543D,24.01.2027,342,R2-S4,
277,VPH-00240,Domperidone 10mg,Tab,PFIZER,30049099  ,12,99.50,69.17,97.00,,B8389C,10.02.2027,467,R3-S9,
278,VPH-00241,Vitamin B12 1500mcg,Tab,Mankind Pharma,  30049099,12,918.35,705.04,869.45,,B2865G,03/10/2027,394,R7-S1,
279,VPH-00242,Ranitidine 150mg,Tab,Alkem,30049099,12,₹1724.06,₹1199.92,₹1615.87,,B9365D,18.08.2027,534,R7-S2,"Pack: Tab, blister"
280,VPH-00243,Eno Fruit Salt 100g,Sachet,MANKIND,30049099,12,870.38,547.74,867.96,,B2354D,18/12/27,433,R2-S8,"Pack: Sachet, blister"
281,VPH-00244,Becosules,Cap,GlaxoSmithKline,30049099,12,1423.61,888.26,1412.89,,B4010C,28/05/27,261,R2-S4,"Pack: Cap, blister"
282,VPH-00245,Ondansetron 4mg,Tab,Lupin,30049099,12,1185.51,717.05,1155.43,,B8836F,25/01/2028,382,R4-S11,
283,VPH-00246,Becosules,Cap,TORRENT,30049099,12,576.56,379.29,570.53,,B1401G,03/04/28,589,R2-S1,
284,VPH-00247,Domperidone 10mg,Tab,Torrent Pharma,30049099,12,792.13,₹597.85,782.57,,B4040H,22/05/2026,495,R6-S12,
285,VPH-00248,Loratadine 10mg,Tab,Sun Pharmaceutical,30049099,12,₹1768.17,1079.60,₹1730.06,,B5787H,30-Dec-2026,477,R5-S9,
286,VPH-00249,Aspirin 75mg,Tab,Macleods,30049099  ,12,1154.80,856.89,1115.23,,B6376C,21.06.2027,59,R8-S1,
287,VPH-00250,Folic Acid 5mg,Tab,Abbott India,30049099,12,1005.70,776.61,937.56,,B3620D,15/03/28,78,R6-S5,
288,VPH-00251,Moov Spray 50g,Spray,Cipla,30049099  ,12,₹37.78,27.80,34.77,,B7805H,28.01.2028,534,R7-S1,
289,VPH-00251,Moov Spray 50g,Spray,Cipla,30049099  ,12,₹37.78,272.92,₹391.82,,B8802D,23.12.2026,356,R4-S4,
290,VPH-00252,Moov Spray 50g,Spray,Mankind,30049099,12,1412.70,₹922.76,1355.47,,B1545C,01/11/26,285,R3-S7,
291,VPH-00253,Metformin 500mg,Tab,Mankind Pharma,30049099  ,12,300.70,₹204.05,292.05,,B3615B,09-Nov-2026,63,R3-S12,
292,VPH-00253,Metformin 500mg,Tab,Mankind Pharma,30049099  ,12,300.70,140.69,₹200.63,,B4626A,10.01.2027,104,R8-S4,
293,VPH-00254,Calcium Carbonate 500mg,Tab,gsk,30049099  ,12,1400.79,₹1013.69,1297.03,,B6785C,18/07/26,116,R4-S10,
294,VPH-00255,Becosules,Cap,Torrent,30049099,12,329.54,253.16,317.40,,B4212A,25/02/28,488,R6-S10,
295,VPH-00256,Multivitamin Syrup 200ml,Syrup,Glenmark Pharma,30049099,12,Rs.899.70,574.12,873.74,,B3069H,05/12/2025,546,R2-S2,
296,VPH-00257,Ranitidine 150mg,Tab,TORRENT,  30049099,12,565.65,398.72,526.99,,B9292F,03/03/28,277,R5-S10,
297,VPH-00258,Domperidone 10mg,Tab,Himalaya,30049099,12,1482.04,1079.29,1480.05,,B7154B,09/12/2027,238,R3-S9,
298,VPH-00259,Saridon,Tab,Macleods Pharma,30049099,12,₹861.17,₹582.41,818.96,,B9651C,17-Feb-2028,552,R3-S5,
299,VPH-00260,Iodex 16g,Ointment,Pfizer India,30049099,12,348.38,243.48,336.74,,B3208C,31/05/26,308,R4-S7,
300,VPH-00261,Aspirin 75mg,Tab,ALKEM,30049099,12,1537.76,995.75,1442.50,,B5881H,05-Feb-2028,82,R4-S5,
301,VPH-00261,Aspirin 75mg,Tab,ALKEM,30049099,12,1537.76,1275.04,1601.44,,B4590D,28.05.2025,274,R7-S12,
302,VPH-00262,Volini Gel 75g,Gel,Torrent Pharma,30049099,12,297.29,173.65,291.80,,B8823A,24/04/2028,201,R4-S3,
303,VPH-00263,Crocin Advance,Tab,Pfizer India,30049099,12,440.07,289.82,₹439.15,,B9086E,14.12.2026,249,R7-S7,
304,VPH-00264,Vitamin B12 1500mcg,Tab,Macleods Pharma,  30049099,12,538.85,376.76,498.54,,B2649C,17-Jun-2027,7,R5-S3,
305,VPH-00265,Iron Folic Acid,Tab,Himalaya Drug Co,30049099,12,900.80,693.20,838.94,,B2673E,05/11/2026,596,R1-S6,"Pack: Tab, blister"
306,VPH-00266,Pudin Hara Pearls,Cap,HIMALAYA,30049099,12,92.31,64.14,90.16,,B5949A,16-Jul-2027,501,R6-S11,
307,VPH-00267,Volini Gel 75g,Gel,ABBOTT,30049099,12,Rs.1715.07,₹1179.52,1651.96,,B5692G,15.06.2026,528,R3-S9,
308,VPH-00268,Domperidone 10mg,Tab,GLENMARK,30049099  ,12,453.49,266.53,430.30,,B6965H,28/04/28,100,R3-S10,
309,VPH-00269,Revital H,Cap,Glenmark,30049099,12,₹1433.02,1026.12,1424.22,,B4771F,26-Dec-2027,343,R7-S3,
310,VPH-00270,Vitamin D3 60K,Sachet,Torrent,30049099,12,62.68,₹47.85,59.85,,B4932G,06.03.2028,574,R7-S2,
311,VPH-00271,Ibuprofen 400mg,Tab,Abbott India,30049099  ,12,537.40,301.63,512.68,,B9186E,03.03.2027,213,R3-S3,
312,VPH-00271,Ibuprofen 400mg,Tab,Abbott India,30049099  ,12,537.40,₹777.04,1113.30,,B9110C,08/11/2026,176,R8-S7,
313,VPH-00272,Vicks Action 500,Tab,Pfizer India,30049099  ,12,1843.45,1326.42,₹1830.43,,B7765A,04.08.2026,509,R5-S2,
314,VPH-00273,Ondansetron 4mg,Tab,PFIZER,30049099  ,12,1206.02,905.53,1178.69,,B6059C,18-Jul-2026,220,R2-S8,
315,VPH-00274,Eno Fruit Salt 100g,Sachet,Alkem Labs,30049099,12,837.77,536.81,785.91,,B3913E,17.02.2028,26,R8-S4,
316,VPH-00275,Volini Gel 75g,Gel,Macleods,30049099,12,1481.17,969.66,1396.41,,B8643G,03/08/2027,407,R7-S10,
317,VPH-00276,Cough Syrup 100ml,Syrup,Lupin Ltd,30049099,12,₹1571.78,1072.10,1567.13,,B2343D,29/04/2028,515,R6-S1,
318,VPH-00277,Pantoprazole 40mg,Tab,Cipla,30049099,12,₹1352.68,761.62,1289.97,,B6928G,21/02/28,170,R1-S6,
319,VPH-00278,Revital H,Cap,Macleods,30049099  ,12,215.42,147.57,202.87,,B7339H,07-Jan-2027,183,R8-S10,
320,VPH-00279,Combiflam,Tab,Torrent,30049099,12,321.38,249.82,302.40,,B6321F,08-Feb-2028,1,R8-S9,
321,VPH-00280,Pudin Hara Pearls टॅब,Cap,Sanofi,30049099  ,12,1050.08,683.03,971.30,,B1199D,10.06.2026,580,R3-S11,
322,VPH-00280,Pudin Hara Pearls टॅब,Cap,Sanofi,30049099  ,12,1050.08,₹137.86,₹231.81,,B9422B,23/10/2026,491,R4-S4,
323,VPH-00281,Eno Fruit Salt 100g,Sachet,ZYDUS,30049099,12,1668.24,1075.25,1587.45,,B7258D,11/06/26,309,R3-S11,
324,VPH-00281,Eno Fruit Salt 100g,Sachet,ZYDUS,30049099,12,1668.24,339.53,451.40,,B7542G,22/03/28,195,R2-S3,
325,VPH-00282,Disprin,Tab,Zydus Cadila,30049099,12,436.69,269.84,414.37,,B3938A,14/01/27,118,R6-S4,
326,VPH-00283,Domperidone 10mg,Tab,Pfizer,  30049099,12,536.03,Rs.319.49,₹514.05,,B5779H,04/09/27,397,R7-S4,
327,VPH-00284,Revital H,Cap,Sun Pharmaceutical,30049099,12,85.14,49.89,81.59,,B4090B,16/03/2027,100,R7-S3,
328,VPH-00284,Revital H,Cap,Sun Pharmaceutical,30049099,12,85.14,Rs.1035.98,1440.44,,B4133D,06-Jan-2026,371,R2-S3,
329,VPH-00285,Iron Folic Acid,Tab,Alkem Labs,30049099  ,12,1083.06,743.22,1024.50,,B7477H,09.02.2027,239,R2-S9,
330,VPH-00286,Volini Gel 75g,Gel,TORRENT,30049099  ,12,186.78,108.80,182.17,,B6422H,23.04.2028,531,R5-S4,
331,VPH-00287,Glimepiride 1mg,Tab,Lupin,30049099,12,742.48,Rs.506.46,742.01,,B2115B,19.12.2026,14,R7-S10,
332,VPH-00288,Cetirizine 10mg,Tab,Sanofi India,30049099  ,12,318.39,Rs.188.53,314.52,,B8944E,03/02/2028,324,R2-S2,
333,VPH-00289,Loratadine 10mg,Tab,GLENMARK,30049099,12,252.39,₹164.78,250.76,,B9449B,05/09/27,405,R4-S7,
334,VPH-00290,Crocin 500mg टॅब टॅब,Tab,ABBOTT,  30049099,12,212.20,160.50,204.62,,B8703A,16.10.2027,595,R2-S6,
335,VPH-00291,Disprin,Tab,Glenmark,30049099,12,1322.60,740.02,₹1227.16,,B5510G,04/10/2026,357,R7-S5,"Pack: Tab, blister"
336,VPH-00292,Combiflam,Tab,Alkem,  30049099,12,323.60,₹249.09,306.82,,B4735D,16/02/28,116,R8-S6,
337,VPH-00293,Aspirin 75mg,Tab,GSK,30049099,12,666.67,Rs.438.66,659.33,,B5705E,26/03/2028,239,R4-S3,
338,VPH-00294,Digene Gel 200ml,Liquid,Himalaya,30049099  ,12,1114.03,660.70,1025.31,,B3674C,18/01/28,222,R4-S4,"Pack: Liquid, blister"
339,VPH-00295,Saridon,Tab,CIPLA,  30049099,12,₹1210.72,801.11,1198.78,,B6256C,05.08.2027,96,R5-S5,
340,VPH-00296,Omeprazole 20mg,Cap,Pfizer India,30049099,12,653.52,369.09,₹625.99,,B6641E,07.12.2026,488,R4-S1,
341,VPH-00297,Folic Acid 5mg,Tab,HIMALAYA,  30049099,12,392.57,268.78,381.95,,B3354A,15/01/2028,435,R8-S2,
342,VPH-00298,Vitamin B12 1500mcg,Tab,MACLEODS,30049099  ,12,₹883.46,642.12,820.35,,B3081B,05-Mar-2028,184,R5-S5,
343,VPH-00299,Ondansetron 4mg,Tab,SANOFI,30049099,12,1537.89,905.38,1416.28,,B5148B,15/06/2026,205,R5-S12,
344,VPH-00300,Glucose D 100g,Sachet,ZYDUS,21069099,18,730.56,535.64,700.89,,B2551A,03/11/26,451,R4-S11,
345,VPH-00301,Omeprazole 20mg,Cap,SUN PHARMA,30049099,12,375.79,275.56,373.78,,B7090A,12/09/2027,379,R5-S1,
346,VPH-00302,Telmisartan 40mg,Tab,gsk,30049099  ,12,1458.18,₹915.41,1431.27,,B6753C,16-Oct-2026,502,R6-S6,
347,VPH-00303,Digene Gel 200ml,Liquid,Zydus Cadila,  30049099,12,1576.95,908.77,₹1531.54,,B9533H,29/01/28,350,R2-S2,
348,VPH-00304,Calcium Carbonate 500mg,Tab,Himalaya,30049099,12,341.70,265.06,332.35,,B3353C,04-Aug-2027,500,R1-S12,
349,VPH-00305,Calcium Carbonate 500mg,Tab,SANOFI,30049099,12,709.61,Rs.510.65,₹677.45,,B3852E,01-Oct-2027,320,R5-S4,
350,VPH-00306,Iron Folic Acid,Tab,Mankind Pharma,30049099,12,₹1011.88,Rs.782.08,972.18,,B7485F,15-Mar-2026,173,R2-S12,
351,VPH-00307,Eno Fruit Salt 100g,Sachet,Torrent Pharma,30049099,12,1733.87,1252.94,1667.70,,B6093D,06/10/2027,583,R4-S8,
352,VPH-00308,Disprin,Tab,Dr Reddys,30049099,12,870.55,591.75,820.73,,B1129A,15-Sep-2026,138,R1-S8,
353,VPH-00308,Disprin,Tab,Dr Reddys,30049099,12,870.55,₹355.49,480.97,,B5737G,01/11/2026,399,R2-S4,
354,VPH-00309,Ibuprofen 400mg,Tab,Mankind,30049099,12,878.28,657.97,827.90,,B2937C,29/09/27,129,R8-S6,
355,VPH-00310,Dolo 650mg टॅब,Tab,Zydus,30049099  ,12,₹1180.43,793.07,1146.91,,B7361F,06/08/27,214,R4-S5,
356,VPH-00311,Domperidone 10mg,Tab,Mankind Pharma,  30049099,12,75.48,51.14,₹70.10,,B5925F,08-Sep-2027,9,R1-S7,
357,VPH-00312,Disprin,Tab,Alkem,30049099,12,1233.55,911.87,1167.24,,B9956F,17.04.2027,295,R3-S5,
358,VPH-00313,Volini Gel 75g,Gel,Mankind,30049099,12,564.81,₹328.91,542.81,,B4825H,01.01.2027,206,R2-S2,
359,VPH-00314,Atorvastatin 10mg,Tab,TORRENT,30049099,12,69.87,41.90,66.63,,B1953B,08-May-2027,322,R5-S3,"Pack: Tab, blister"
360,VPH-00315,Omeprazole 20mg,Cap,Himalaya,30049099,12,1765.16,1241.37,1721.46,,B4738A,22.01.2027,47,R4-S10,"Pack: Cap, blister"
361,VPH-00316,Calcium Carbonate 500mg,Tab,ABBOTT,30049099  ,12,1384.78,899.63,1314.44,,B1518A,22/08/27,306,R3-S1,"Pack: Tab, blister"
362,VPH-00317,Dolo 650mg,Tab,GSK,30049099  ,12,227.40,176.51,210.56,,B5198H,09/10/2026,143,R7-S12,
363,VPH-00318,Ranitidine 150mg,Tab,SANOFI,30049099,12,1540.40,1111.58,1451.44,,B1946A,14.04.2027,168,R1-S10,
364,VPH-00319,Vitamin B12 1500mcg,Tab,Mankind Pharma,30049099,12,708.25,₹528.24,₹667.86,,B8957C,01/04/27,598,R3-S1,
365,VPH-00320,Combiflam,Tab,ZYDUS,30049099,12,780.11,433.19,745.48,,B8272D,11/01/2028,102,R4-S4,
366,VPH-00321,Digene Gel 200ml,Liquid,Alkem,30049099,12,261.44,157.96,243.68,,B8772G,28/09/2027,143,R1-S7,
367,VPH-00322,Pudin Hara Pearls,Cap,Zydus Cadila,30049099  ,12,313.58,241.21,309.50,,B3520E,07.07.2027,416,R7-S10,
368,VPH-00323,Glucose D 100g,Sachet,Alkem Labs,21069099  ,18,835.37,608.13,776.62,,B1790E,22/07/27,9,R6-S3,
